Code,Geography,Year,unemploymentrate
CNYN,China: Yunnan,1999,2.5
CNYN,China: Yunnan,2000,2.6
CNYN,China: Yunnan,2001,3.3
CNYN,China: Yunnan,2002,4.0
CNYN,China: Yunnan,2003,4.1
CNYN,China: Yunnan,2004,4.3
CNYN,China: Yunnan,2005,4.17
CNYN,China: Yunnan,2006,4.28
CNYN,China: Yunnan,2007,4.18
CNYN,China: Yunnan,2008,4.21
CNYN,China: Yunnan,2009,4.3
CNYN,China: Yunnan,2010,4.2
CNYN,China: Yunnan,2011,4.05
CNYN,China: Yunnan,2012,4.03
CNYN,China: Yunnan,2013,3.98
CNYN,China: Yunnan,2014,3.88
CNYN,China: Yunnan,2015,3.99
CNYN,China: Yunnan,2016,3.94
CNYN,China: Yunnan,2017,3.93
CNYN,China: Yunnan,2018,3.92
CNYN,China: Yunnan,2019,3.93
CNYN,China: Yunnan,2020,–
CNZJ,China: Zhejiang,1996,2.6
CNZJ,China: Zhejiang,1997,3.0
CNZJ,China: Zhejiang,1998,3.3
CNZJ,China: Zhejiang,1999,3.4
CNZJ,China: Zhejiang,2000,3.4
CNZJ,China: Zhejiang,2001,3.7
CNZJ,China: Zhejiang,2002,4.2
CNZJ,China: Zhejiang,2003,4.2
CNZJ,China: Zhejiang,2004,4.1
CNZJ,China: Zhejiang,2005,3.72
CNZJ,China: Zhejiang,2006,3.51
CNZJ,China: Zhejiang,2007,3.27
CNZJ,China: Zhejiang,2008,3.49
CNZJ,China: Zhejiang,2009,3.26
CNZJ,China: Zhejiang,2010,3.2
CNZJ,China: Zhejiang,2011,3.12
CNZJ,China: Zhejiang,2012,3.01
CNZJ,China: Zhejiang,2013,3.01
CNZJ,China: Zhejiang,2014,2.99
CNZJ,China: Zhejiang,2015,3.0
CNZJ,China: Zhejiang,2016,3.2
CNZJ,China: Zhejiang,2017,3.05
CNZJ,China: Zhejiang,2018,3.14
CNZJ,China: Zhejiang,2019,3.09
CNZJ,China: Zhejiang,2020,–
Copyright © 2015 The Economist Intelligence Unit.,,,
