Geography,Year,enrollmentrate
China: Anhui,1996,0.1090686274509804
China: Anhui,1997,0.10631229235880399
China: Anhui,1998,0.10813594232749743
China: Anhui,1999,0.13502538071065992
China: Anhui,2000,0.18768328445747803
China: Anhui,2001,0.23977164605137966
China: Anhui,2002,0.30136986301369867
China: Anhui,2003,0.34982935153583616
China: Anhui,2004,0.37697516930022573
China: Anhui,2005,0.41304347826086957
China: Anhui,2006,0.43973509933774835
China: Anhui,2007,0.47436729396495786
China: Anhui,2008,0.5312294543063775
China: Anhui,2009,0.5993174061433447
China: Anhui,2010,0.6874084919472913
China: Anhui,2011,0.7362555720653788
China: Anhui,2012,0.797971918876755
China: Anhui,2013,0.9219982471516214
China: Beijing,1996,1.111111111111111
China: Beijing,1997,0.9560975609756098
China: Beijing,1998,1.0
China: Beijing,1999,1.211340206185567
China: Beijing,2000,1.4973262032085564
China: Beijing,2001,1.671641791044776
China: Beijing,2002,1.8
China: Beijing,2003,1.9401709401709402
China: Beijing,2004,2.1459227467811157
China: Beijing,2005,2.382608695652174
China: Beijing,2006,2.8019801980198014
China: Beijing,2007,3.090909090909091
China: Beijing,2008,3.202185792349727
China: Beijing,2009,3.412790697674419
China: Beijing,2010,3.6012269938650303
China: Beijing,2011,3.769230769230769
China: Beijing,2012,3.9139072847682117
China: Beijing,2013,3.993333333333333
China: Chongqing,1996,0.33333333333333337
China: Chongqing,1997,0.27631578947368424
China: Chongqing,1998,0.25617283950617287
China: Chongqing,1999,0.3391608391608392
China: Chongqing,2000,0.42711864406779665
China: Chongqing,2001,0.41116751269035534
China: Chongqing,2002,0.4210526315789474
China: Chongqing,2003,0.5073684210526316
China: Chongqing,2004,0.5974842767295597
China: Chongqing,2005,0.6435452793834296
China: Chongqing,2006,0.7107750472589792
China: Chongqing,2007,0.7855787476280834
China: Chongqing,2008,0.8241758241758241
China: Chongqing,2009,0.850615114235501
China: Chongqing,2010,0.8924914675767919
China: Chongqing,2011,0.919093851132686
China: Chongqing,2012,1.028006589785832
China: Chongqing,2013,1.1131756756756759
China: Fujian,1996,0.1802469135802469
China: Fujian,1997,0.1649048625792812
China: Fujian,1998,0.14455782312925172
China: Fujian,1999,0.16043613707165108
China: Fujian,2000,0.20000000000000004
China: Fujian,2001,0.2399425287356322
China: Fujian,2002,0.2747559274755928
China: Fujian,2003,0.35061391541609827
China: Fujian,2004,0.4346666666666667
China: Fujian,2005,0.536231884057971
China: Fujian,2006,0.5733830845771144
China: Fujian,2007,0.6370463078848561
China: Fujian,2008,0.7628726287262872
China: Fujian,2009,0.8335625859697386
China: Fujian,2010,0.9012517385257303
China: Fujian,2011,0.9782608695652175
China: Fujian,2012,1.1126984126984125
China: Fujian,2013,1.2122719734660032
China: Gansu,1996,0.1875
China: Gansu,1997,0.18545454545454543
China: Gansu,1998,0.18556701030927836
China: Gansu,1999,0.20655737704918034
China: Gansu,2000,0.2530487804878049
China: Gansu,2001,0.3153409090909091
China: Gansu,2002,0.3548387096774193
China: Gansu,2003,0.37938596491228066
China: Gansu,2004,0.3952569169960474
China: Gansu,2005,0.4074733096085409
China: Gansu,2006,0.4429530201342282
China: Gansu,2007,0.47058823529411764
China: Gansu,2008,0.5147286821705427
China: Gansu,2009,0.5503048780487805
China: Gansu,2010,0.5876923076923077
China: Gansu,2011,0.6136363636363636
China: Gansu,2012,0.6570121951219512
China: Gansu,2013,0.6965408805031447
China: Guangdong,1996,0.17336152219873152
China: Guangdong,1997,0.16634980988593154
China: Guangdong,1998,0.15691263782866835
China: Guangdong,1999,0.17595541401273884
China: Guangdong,2000,0.2321699544764795
China: Guangdong,2001,0.2833827893175074
China: Guangdong,2002,0.32320441988950277
China: Guangdong,2003,0.37764932562620424
China: Guangdong,2004,0.44546568627450983
China: Guangdong,2005,0.5020080321285141
China: Guangdong,2006,0.5436422413793103
China: Guangdong,2007,0.5851619644723094
China: Guangdong,2008,0.6188295165394402
China: Guangdong,2009,0.6504144319843979
China: Guangdong,2010,0.6788772597526166
China: Guangdong,2011,0.6786666666666666
China: Guangdong,2012,0.7006065857885616
China: Guangdong,2013,0.7633928571428571
China: Guangxi,1996,0.1191806331471136
China: Guangxi,1997,0.12116040955631399
China: Guangxi,1998,0.11613876319758672
China: Guangxi,1999,0.12552301255230125
China: Guangxi,2000,0.16734143049932523
China: Guangxi,2001,0.20596205962059622
China: Guangxi,2002,0.2246376811594203
China: Guangxi,2003,0.25563063063063063
China: Guangxi,2004,0.307776560788609
China: Guangxi,2005,0.35995740149094785
China: Guangxi,2006,0.41523605150214593
China: Guangxi,2007,0.45020746887966806
China: Guangxi,2008,0.5204301075268817
China: Guangxi,2009,0.5986394557823129
China: Guangxi,2010,0.6558891454965358
China: Guangxi,2011,0.6952491309385863
China: Guangxi,2012,0.713961407491487
China: Guangxi,2013,0.7437641723356009
China: Guizhou,1996,0.12286689419795221
China: Guizhou,1997,0.1198738170347003
China: Guizhou,1998,0.12573099415204678
China: Guizhou,1999,0.15819209039548024
China: Guizhou,2000,0.21220159151193635
China: Guizhou,2001,0.2634146341463415
China: Guizhou,2002,0.2510204081632653
China: Guizhou,2003,0.2582322357019064
China: Guizhou,2004,0.26946107784431134
China: Guizhou,2005,0.27747989276139406
China: Guizhou,2006,0.2820838627700127
China: Guizhou,2007,0.30440251572327043
China: Guizhou,2008,0.34096692111959287
China: Guizhou,2009,0.382842509603073
China: Guizhou,2010,0.3997524752475247
China: Guizhou,2011,0.4139590854392298
China: Guizhou,2012,0.4470314318975553
China: Guizhou,2013,0.48216340621403914
