"Data Source","World Development Indicators",

"Last Updated Date","2015-10-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Azerbaijan","AZE","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","23.84296","","","","","24.38807","","25.10751","23.97125","23.34831","23.65213","24.28284","21.47215","18.74535","17.83369","17.5665","17.20257","","","","","","","","","19.7894592285156","19.3645992279053","19.0478897094727","19.057710647583","19.2600402832031","19.647310256958","20.4384593963623","","","",
"Burundi","BDI","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","0.17294","0.17623","0.16586","0.24333","0.24971","0.29852","","","0.45545","0.45849","0.46846","0.5074","","0.57438","0.59302","0.64706","0.62876","0.74296","0.74273","0.70327","0.78742","0.84694","0.94836","","","","","0.90758","0.996129989624023","1.15887999534607","1.12819004058838","1.76392996311188","","2.28567004203796","2.30867004394531","2.31221008300781","2.36324000358582","2.55526995658875","2.72362995147705","3.16599011421204","3.00311994552612","3.72432994842529","4.49210977554321","","",
"Belgium","BEL","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","16.86411","17.37737","19.42843","20.45516","20.72825","","","24.00634","25.26453","24.82541","24.32408","26.33541","27.13496","28.22408","30.95516","31.76913","33.19423","34.33978","36.04118","38.33956","39.91775","","45.82764","48.89793","54.39907","56.23701","","","56.6634101867676","57.5231704711914","58.2452697753906","59.2444381713867","60.1791191101074","61.743221282959","61.9851608276367","62.4694290161133","61.6144905090332","62.19873046875","65.1640701293945","67.520881652832","69.2604827880859","70.8275527954102","72.1104888916016","","",
"Benin","BEN","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","0.12916","0.23682","0.43135","0.7092","0.6848","0.74002","0.98374","1.08719","0.96413","1.04869","1.4389","1.71054","1.85384","1.91716","1.9843","2.37757","2.25545","2.18883","2.32853","2.12248","2.42084","2.27115","2.04861","2.09159","2.08965","2.06138","2.51079","","3.22962999343872","3.68104004859924","4.46438980102539","5.26468992233276","5.81991004943848","5.87203979492188","5.78434991836548","6.641930103302","7.90375995635986","7.78711986541748","9.87016010284424","13.260009765625","12.365119934082","","","","",
"Burkina Faso","BFA","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","0.03754","0.04693","0.05495","0.08602","0.1012","0.20179","0.18334","0.22276","0.22923","0.21322","0.27835","0.42615","0.50091","0.53962","0.59314","0.61182","0.63895","0.67857","0.75443","0.75606","0.70098","0.93005","1.08194","1.05425","1.09778","1.05427","0.96926","","0.999189972877502","","1.15665996074677","1.41163003444672","1.60084998607635","","2.30707001686096","2.44096994400024","2.61229991912842","3.18129992485046","3.53400993347168","3.57959008216858","4.14663982391357","4.56077003479004","4.78053998947144","","",
"Bangladesh","BGD","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","2.0277","","2.22872","2.30315","3.01251","","2.55938","2.79834","2.25534","3.20934","3.12101","2.99547","3.67869","4.54973","4.92491","5.00749","4.88946","4.24349","3.64965","3.60607","4.12778","","","","","","","","","5.44118022918701","5.43113994598389","6.40930986404419","6.11265993118286","6.15993022918701","5.67941999435425","6.21990013122559","7.10345983505249","7.65621995925903","8.56354999542236","10.466329574585","","13.1528196334839","13.2279300689697","","","",
"Bulgaria","BGR","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","14.28135","15.54001","17.1831","18.08501","19.1207","19.51288","19.84435","22.09384","18.33872","17.15371","16.18264","15.70399","15.46626","16.03153","17.06952","18.7382","20.78952","22.58201","25.04839","26.1976","31.03787","30.44895","31.91852","33.68542","36.51943","41.08354","43.17429","43.07343","45.2018508911133","44.4912986755371","43.0179405212402","40.864330291748","41.5195083618164","41.9378890991211","44.2724418640137","45.8198890686035","49.5349807739258","51.3508415222168","54.0998992919922","57.9929504394531","59.6252288818359","62.6964797973633","66.4947128295898","","",
"Bahrain","BHR","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","1.51349","1.43172","1.43188","2.23881","2.23858","2.19516","3.52137","3.25188","2.7642","3.22288","4.6775","5.88442","","","12.15382","12.70942","9.54003","13.2888","","","17.23593","16.96738","17.58284","16.80606","16.59305","17.618","","","21.405460357666","","","","27.6243000030518","","22.7328701019287","21.514669418335","","","","","36.5516395568848","33.4565811157227","","40.3611106872559","",
"Bahamas, The","BHS","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","30.13203","27.53458","25.74853","18.71833","16.35172","15.19905","11.63673","13.54841","15.00416","17.45378","19.36548","20.94272","","","","","","","15.05303","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3721103668213","23.1034603118896","23.2173595428467","","","","","","","","","","","","","",
"Belarus","BLR","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","40.92838","","","","","37.02924","","","","37.80468","39.22642","39.55475","40.74402","42.05485","43.74429","44.7477","45.75628","46.69304","47.32375","48.75598","47.61299","43.82666","43.28759","41.35093","40.39518","44.54812","45.17399","49.19309","52.1172714233398","54.4749298095703","56.7977104187012","59.2591514587402","61.8750305175781","63.8358917236328","66.1683807373047","68.0855102539063","70.1558532714844","70.0321273803711","73.5915832519531","78.994140625","85.6971206665039","91.4524688720703","92.8948364257813","","",
"Belize","BLZ","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","1.03272","0.84567","","0.8954","0.94171","","","","","","","","","","","","","","","","","","","","","","","","","","15.044810295105","16.8043403625488","16.0125408172607","15.4836196899414","16.0397205352783","17.0110702514648","18.2164096832275","19.2821407318115","22.8657608032227","22.5795001983643","22.8633804321289","25.7879695892334","25.916410446167","","",
"Bermuda","BMU","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","7.69918","9.9631","10.59972","","","","","","","","","","","","","","","","","","","","","","","","","30.0198802947998","26.1743297576904","25.9259300231934","32.1109504699707","29.8167304992676","31.1654396057129","30.8026008605957","29.5615997314453","29.0458507537842","",
"Bolivia","BOL","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","8.88908","8.17733","7.69361","8.27361","10.27942","","","","","","","","","","","","","","","20.12252","","","","","","","25.26051","","29.69959","32.2924690246582","34.8912086486816","36.9728202819824","37.2497596740723","39.5912399291992","39.6282005310059","","","37.6887016296387","","","","","","","","",
"Brazil","BRA","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","3.20993","4.21139","5.0989","5.53905","","","","","","","14.56482","17.76323","","18.79738","19.51028","","","","16.92185","16.85608","26.25948","27.79437","26.16885","","","","","","34.0993118286133","40.632080078125","40.2837409973145","","","","","","56.5331611633301","","70.4505233764648","64.8119125366211","60.8425216674805","","","","",
"Brunei Darussalam","BRN","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","1.95223","","2.16205","","","","1.01311","2.88622","","2.91465","4.31743","","","","","5.40015","5.57238","5.82315","","","","9.7817","12.0186796188354","12.6891098022461","14.2466402053833","14.5348100662231","15.4899797439575","17.1868991851807","17.6940994262695","17.7658405303955","17.945930480957","18.3187408447266","19.1941394805908","17.6038494110107","19.7225894927979","24.3386898040771","25.3618202209473","","",
"Bhutan","BTN","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","0.40468","0.74093","0.88135","","","0.73856","","","","","","","","","","","","","","","","2.74365997314453","","","","","","4.74112987518311","4.98818016052246","5.39997005462646","6.46171998977661","6.27684020996094","7.00696992874146","8.74055957794189","9.42831039428711","10.9104604721069","","",
"Botswana","BWA","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","0","0","0.28813","0.33214","0.37042","0.57284","0.62009","0.70883","0.84302","0.92339","1.12472","1.18472","1.3408","1.42675","1.64219","1.83105","2.18422","2.43318","","","","4.17094","","4.92401","5.35673","5.06319","5.43018","","","5.20517015457153","5.59221982955933","6.03090000152588","6.51704978942871","9.61198997497559","9.24166965484619","10.0561599731445","10.1873397827148","14.1357297897339","21.6263694763184","19.0573406219482","16.9935894012451","17.9070301055908","","24.8342208862305","","",
